accession	assembly_name	strain	isolate	scientific_name
GCA_056401065	ASM5640106v1	P4_G5		Rhizorhabdus sp. P4_G5
GCA_056401085	ASM5640108v1	P4_G4		Nocardioides sp. P4_G4
GCA_056401105	ASM5640110v1	P4_G3		Sphingomonas sp. P4_G3
GCA_056401155	ASM5640115v1	P4_G2		Sphingomonas sp. P4_G2
GCA_056401175	ASM5640117v1	P4_G10		Nocardioides sp. P4_G10
GCA_056401195	ASM5640119v1	P4_G12		Rhodococcus sp. P4_G12
GCA_056401215	ASM5640121v1	P4_G1		Tardiphaga sp. P4_G1
GCA_056401235	ASM5640123v1	P4_F9		Polaromonas sp. P4_F9
GCA_056401255	ASM5640125v1	P4_F8		Neorhizobium sp. P4_F8
GCA_056401275	ASM5640127v1	P4_F6		Polaromonas sp. P4_F6
GCA_056401295	ASM5640129v1	P4_F7		Aminobacter sp. P4_F7
GCA_056401315	ASM5640131v1	P4_F5		Rhodococcus sp. P4_F5
GCA_056401335	ASM5640133v1	P4_F3_2		Rhodococcus sp. P4_F3_2
GCA_056401355	ASM5640135v1	P4_F4		Polaromonas sp. P4_F4
GCA_056401375	ASM5640137v1	P4_F3_1_2		Rhodococcus sp. P4_F3_1_2
GCA_056401395	ASM5640139v1	P4_F11		Arthrobacter sp. P4_F11
GCA_056401415	ASM5640141v1	P4_F2_1		Priestia sp. P4_F2_1
GCA_056401435	ASM5640143v1	P4_F10		Arthrobacter sp. P4_F10
GCA_056401455	ASM5640145v1	P4_F1		Paenibacillus sp. P4_F1
GCA_056401475	ASM5640147v1	P4_E9		Sphingomonas sp. P4_E9
GCA_056401495	ASM5640149v1	P4_E8		Mucilaginibacter sp. P4_E8
GCA_056401515	ASM5640151v1	P4_E7		Rhodococcus sp. P4_E7
GCA_056401535	ASM5640153v1	P4_E6		Luteibacter sp. P4_E6
GCA_056401555	ASM5640155v1	P4_E5		Caulobacter sp. P4_E5
GCA_056401575	ASM5640157v1	P4_E4		Rhodococcus sp. P4_E4
GCA_056401595	ASM5640159v1	P4_E4_2		Paenisporosarcina sp. P4_E4_2
GCA_056401615	ASM5640161v1	P4_E3		Rhodococcus sp. P4_E3
GCA_056401635	ASM5640163v1	P4_E11		Paenibacillus sp. P4_E11
GCA_056401655	ASM5640165v1	P4_E12		Allobosea sp. P4_E12
GCA_056401675	ASM5640167v1	P4_E10		Phenylobacterium sp. P4_E10
GCA_056401695	ASM5640169v1	P4_D9		Variovorax sp. P4_D9
GCA_056401715	ASM5640171v1	P4_E1		Bacillus sp. P4_E1
GCA_056401735	ASM5640173v1	P4_D7_3		Luteibacter sp. P4_D7_3
GCA_056401755	ASM5640175v1	P4_D7		Pseudomonas sp. P4_D7
GCA_056401775	ASM5640177v1	P4_D7_2		Neorhizobium sp. P4_D7_2
GCA_056401795	ASM5640179v1	P4_D6		Peribacillus sp. P4_D6
GCA_056401815	ASM5640181v1	P4_D5		Aminobacter sp. P4_D5
GCA_056401835	ASM5640183v1	P4_D4		Paenisporosarcina sp. P4_D4
GCA_056401855	ASM5640185v1	P4_D3		Bacillus sp. P4_D3
GCA_056401875	ASM5640187v1	P4_D2		Roseateles sp. P4_D2
GCA_056401895	ASM5640189v1	P4_D12		Sphingomonas sp. P4_D12
GCA_056401915	ASM5640191v1	P4_D11		Cellulomonas sp. P4_D11
GCA_056401935	ASM5640193v1	P4_D1		Mucilaginibacter sp. P4_D1
GCA_056401955	ASM5640195v1	P4_C9		Pseudomonas sp. P4_C9
GCA_056401975	ASM5640197v1	P4_C8		Pseudomonas sp. P4_C8
GCA_056401995	ASM5640199v1	P4_C7		Pseudomonas sp. P4_C7
GCA_056402015	ASM5640201v1	P4_C6		Allobosea sp. P4_C6
GCA_056402035	ASM5640203v1	P4_C5		Burkholderiaceae bacterium P4_C5
GCA_056402055	ASM5640205v1	P4_C4		Pseudomonas sp. P4_C4
