file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710300_2.fastq.gz	FASTQ	DNA	18572	2453339	27	132.1	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710301_2.fastq.gz	FASTQ	DNA	310657	37712709	19	121.4	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710302_2.fastq.gz	FASTQ	DNA	814830	99916537	17	122.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710312_2.fastq.gz	FASTQ	DNA	1824701	220458680	16	120.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710313_2.fastq.gz	FASTQ	DNA	1428426	177250847	16	124.1	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710315_2.fastq.gz	FASTQ	DNA	2466666	316937651	15	128.5	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710316_2.fastq.gz	FASTQ	DNA	1775963	226116322	1	127.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710317_2.fastq.gz	FASTQ	DNA	7079985	783040727	1	110.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710318_2.fastq.gz	FASTQ	DNA	4771676	542872840	16	113.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710319_2.fastq.gz	FASTQ	DNA	7061966	837506228	1	118.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710320_2.fastq.gz	FASTQ	DNA	6893249	829554946	17	120.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710346_2.fastq.gz	FASTQ	DNA	1699525	219728694	18	129.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710347_2.fastq.gz	FASTQ	DNA	2224474	290006103	18	130.4	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710348_2.fastq.gz	FASTQ	DNA	2390783	318429162	19	133.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710349_2.fastq.gz	FASTQ	DNA	3505709	456581713	18	130.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710350_2.fastq.gz	FASTQ	DNA	378221	45056892	18	119.1	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710352_2.fastq.gz	FASTQ	DNA	657215	79954015	18	121.7	151
